temple,寺院，庙,,,,
temps,时间；天所,,,,
en même temps,同时,,,,
tenir,握住，抓住,,,,
terminus,终点站,,,,
terre,土地,,,,
textile,纺织的,,,,
toi,你,,,,
toilette,梳洗,,,,
tomber,跌倒，落下,,,,
t?t,早,,,,
toujours,总是,,,,
tour,旋转；轮值，轮班,,,,
tourner,转弯,,,,
tout,一切,,,,
"tout(toute,tous,toutes)",全部的，所有的,,,,
tout à coup,突然,,,,
tour à fait,完全地,,,,
tout de même,还是，仍然,,,,
tradition,传统,,,,
traditionnel,传统的,,,,
train,步伐/火车,,,,
être en train(de f. qch.),正在做某事,,,,
tranquille,安静的,,,,
travail,工作，劳动,,,,
travailler,工作，劳动,,,,
traverser,穿过,,,,
treize,十三,,,,
trente,三十,,,,
très,很,,,,
triste,忧郁的，悲伤的,,,,
trois,三十,,,,
trolley,无轨电车,,,,
trop,太,,,,
trouver,发现，感到,,,,
se trouver,位于,,,,
tu,你,,,,
"un,une",一个,,,,
l'un après l'autre,一个接一个,,,,
universitaire,大学的,,,,
université,大学,,,,
usine,工厂,,,,
utile(à),有用的,,,,
veau,牛犊，小牛肉,,,,
veille,前夕,,,,
vélo,自行车,,,,
vendredi,星期五,,,,
venir,来,,,,
vent,风,,,,
vers,朝向，接近,,,,
vidéo,录相的,,,,
vidéo-cassette,录相磁带,,,,
village,村庄,,,,
ville,城市,,,,
vin,酒,,,,
vingt,二十,,,,
visite,参观，访问,,,,
visiter,参观,,,,
vite,快,,,,
vivre,生活,,,,
voilà,这儿是；（语气词瞧）,,,,
voir,看见,,,,
"voisin,-e",邻居,,,,
"votre,vos",您的，你们的,,,,
vouloir,愿，想要,,,,
vous,你们，您,,,,
voyage,旅行,,,,
voyager,旅行,,,,
vraiment,真正地,,,,
y,在那里,,,,
yeux(?il),眼睛,,,,
zut,（俗）得了!见鬼！倒霉,,,,
